Unnamed: 0,Spanish,English
536,esperar,wait
537,sabemos,we know
538,recuerdo,memory
539,par,pair
540,joven,young
541,seguir,continue
542,pueblo,town
543,tenga,have
544,caballeros,gentlemen
545,idiota,moron
546,dio,gave
547,minuto,minute
548,bebé,baby
549,única,only
551,nuestras,our
552,plan,plan
553,pienso,I think
554,sentido,sense
555,dormir,sleep
556,digas,you say
557,palabra,word
558,correcto,Right
559,control,control
560,vemos,we see
561,entiendes,You understand
562,país,country
563,seis,six
564,último,latest
565,ésta,is
566,diga,tell
567,podrías,could you
568,pequeña,small
569,cállate,shut
570,trato,treatment
571,rey,King
572,sucede,happens
573,muchachos,boys
574,jamás,Never
575,cama,bed
576,srta,Ms
577,ayudar,help
578,acerca,about
579,di,gave
580,cambio,change
581,falta,lack
582,hospital,hospital
583,lleva,carries
584,presidente,President
585,mil,thousand
586,gusto,taste
587,conoces,you know
588,diciendo,saying
589,os,you
590,ido,gone
591,general,general
592,extraño,strange
593,semanas,weeks
594,coche,car
595,peor,worse
596,mucha,a lot
597,disculpe,excuse me
598,diré,I will say
599,anoche,last night
600,perder,to lose
601,vámonos,Let's go
602,nave,ship
603,cielo,Darling
604,habrá,there will be
606,segura,safe
607,querida,Dear
608,niña,little girl
609,increíble,amazing
610,además,what's more
611,deben,should
612,libro,book
613,calle,Street
614,café,coffee
615,piensas,think
616,hacemos,we make
617,especial,special
618,queremos,we want
619,irme,leave
620,perfecto,perfect
621,buscar,search for
622,odio,hate
623,piensa,think
624,oficina,office
625,hablas,speak
626,libre,free
627,agente,agent
628,york,york
629,llamar,to call
630,mala,bad
631,detrás,behind
632,viste,dresses
633,dile,tell him
634,grandes,large
635,recuerdas,remember
636,real,real
637,estaban,were
638,mía,mine
639,frente,front
640,perdido,lost
641,llamo,I call
642,muertos,dead
643,millones,millions
644,asesino,assassin
645,sueño,sleep
646,quisiera,I'd like
647,habría,there would be
648,hará,will
649,viaje,trip
650,probablemente,probably
651,resto,rest
652,estaré,I will be
653,maldición,curse
654,lamento,lament
655,muchacho,young guy
656,avión,plane
657,ropa,clothing
658,fuerza,force
659,llamado,called
660,oído,hearing
661,dado,given
662,encima,over
663,negro,black
664,usar,use
665,información,information
666,uds,You
667,preguntas,questions
668,tuvo,He had
669,secreto,secret
670,vuelve,returns
671,miren,look
672,quieras,want
673,haría,would do
674,acaba,just
675,otras,other
676,incluso,even
677,sientes,you feel
678,deberíamos,we should
679,haz,make
680,decirte,tell you
681,boca,mouth
682,dolor,pain
683,baño,bathroom
684,adentro,inside
685,profesor,Teacher
686,habitación,room
687,daño,damage
688,tuyo,of yours
689,seas,be
690,noticias,news
691,demás,the rest
692,querido,Dear
693,duro,Lasted
694,poner,set
695,prueba,proof
696,mire,Look
697,tonto,fool
698,campo,field
699,siendo,being
700,diez,ten
701,ése,that
702,tranquilo,quiet
703,asunto,matter
704,acabó,just
705,quédate,stay
706,derecho,straight
707,placer,pleasure
708,recuerda,remember
709,estuve,I was
710,tratando,trying
711,ejército,army
712,futuro,future
713,llevar,bring
714,compañía,company
715,venido,I come
716,listos,ready
717,haremos,will
718,sitio,site
719,verlo,see him
720,puesto,Market Stall
721,atención,attention
722,sino,otherwise
724,error,error
725,blanco,White
726,raro,rare
727,palabras,words
728,llegó,I arrive
729,sal,Salt
730,pase,happens
731,mente,mind
732,sistema,system
733,película,movie
734,anda,anda
735,ello,it
736,negocio,deal
737,novia,bride
738,permiso,Excuse me
740,suena,sounds
741,oficial,official
742,espere,Wait
743,aire,air
744,mató,he killed
745,regresar,to get back
746,vio,saw
747,hazlo,do it
748,trasero,rear
749,grupo,group
750,entendido,understood
751,señorita,Miss
752,música,music
753,perra,female dog
754,conoce,known
755,empezar,begin
756,siente,feels
757,acabo,finished
758,estúpido,stupid
759,diferente,different
760,traje,costume
761,modo,mode
762,encontré,I found
763,mensaje,message
764,llamada,call
765,navidad,Christmas
766,eras,ages
767,pena,pain
768,largo,length
769,entra,enters
770,piso,floor
771,foto,Photo
772,dijeron,they said
773,accidente,accident
774,fuiste,you were
775,imposible,impossible
776,podríamos,we could
777,línea,line
778,propia,own
779,barco,ship
780,ganar,to win
781,normal,normal
782,segundos,seconds
783,vive,it lives
784,mitad,half
785,quiera,want
786,tras,after
787,decirle,tell
788,lindo,cute
789,funciona,it works
790,programa,Program
791,vine,came
792,abre,opens
793,sean,are
794,pagar,to pay
795,fotos,photos
796,centro,center
797,supone,supposed
798,basura,trash
799,situación,situation
800,mejores,top
802,encanta,loves
803,marido,husband
804,personal,personal
805,maestro,teacher
806,hambre,hungry
807,ataque,attack
808,culo,ass
809,dale,Go ahead
810,pie,foot
811,conseguir,to get
812,trabajando,working
813,gracioso,funny
814,dejó,let
815,pudo,could
816,derecha,right
817,izquierda,left
818,próxima,next
819,pobre,poor
820,respuesta,answer
821,tipos,types
822,sentir,feel
823,tenías,had
824,pude,could
825,darle,give him
826,voz,voice
827,amiga,friend
828,gustan,like
829,vista,view
830,salvo,except
832,hotel,hotel
833,hicieron,they made
834,ten,ten
835,temo,fear
836,señal,sign
838,llevo,I wear
839,das,you give
840,nena,Chick
842,tren,train
843,bonito,beautiful
844,mes,month
845,tendrá,will have
846,tendrás,you will have
847,edad,age
848,ellas,they
849,hermosa,beautifull
850,honor,honor
851,simplemente,simply
852,llamas,calls
853,tengas,you have
854,corre,runs
855,baja,short
856,sol,Sun
857,siéntate,Sit down
858,dan,give
859,humano,human
860,divertido,funny
861,sexo,sex
862,vuelto,turned
863,peligro,danger
864,mesa,desk
865,siguiente,following
866,hablo,I speak
867,disculpa,sorry
868,decirme,tell me
869,caja,cash register
870,negocios,business
871,misión,mission
872,silencio,silence
873,sale,comes out
874,llegado,arrived
875,estaría,It would
876,regreso,he came back
877,media,half
878,estan,are
879,propio,own self
880,enseguida,right away
881,linda,beautiful
882,prometo,I promise
883,esposo,husband
884,norte,North
885,hubo,was
886,juro,I swear
887,muerta,dead
888,interesante,interesting
889,pensaba,thought
890,busca,seeks
891,terminar,end up
892,tendré,I will have
893,completamente,completely
894,cita,date
895,siete,seven
896,cumpleaños,birthday
897,abogado,attorney
899,cerebro,brain
900,porqué,why
901,llave,wrench
902,santo,holy
903,hermoso,handsome
904,necesario,necessary
905,edificio,building
906,irnos,leave
907,aun,yet
908,tendremos,we will have
909,vayas,go
910,doy,give
911,trae,brings
912,salió,he left
913,ley,law
914,ahi,there
915,verdadero,TRUE
916,pelea,Fight
917,banco,Bank
918,terrible,terrible
919,calma,Calm down
920,cena,Dinner
921,daré,I'll give
922,gobierno,government
923,comprar,to buy
924,creen,believe
925,sargento,sergeant
926,destino,destiny
927,existe,exists
928,hacía,toward
929,novio,groom
930,sala,living room
931,través,through
932,regalo,gift
933,iglesia,church
934,decía,He said
935,cualquiera,any
936,excelente,Excellent
937,esperen,expect
938,deseo,desire
939,alma,soul
940,diablo,Devil
941,deje,leave
942,cuántos,many
943,espada,sword
944,estábamos,we were
945,carne,meat
946,maravilloso,marvelous
947,vidas,lifes
948,sucedió,it happened
949,oí,I heard
950,peligroso,dangerous
951,dirección,address
952,libertad,Liberty
953,jesús,Jesus
954,ocurrió,occurred
955,veré,I will see
956,sueños,dreams
957,pudiera,could
958,detective,detective
959,sorpresa,surprise
960,tuya,yours
961,pies,feet
962,club,club
963,terminado,finished
964,infierno,hell
966,luna,Moon
967,salvar,save
968,carta,letter
969,estés,re
970,cielos,Heavens
971,teniente,lieutenant
972,encuentra,finds
973,veamos,let's see
974,quise,I wanted
975,escúchame,listen to me
976,necesitan,need
977,ambos,both of them
978,decisión,decision
979,enemigo,enemy
980,hicimos,we did
981,dulce,candy
982,pruebas,tests
983,querías,wanted
984,abuelo,Grandpa
985,totalmente,totally
986,mirando,looking
987,vayan,go
988,carrera,career
